x,y,z,qx,qy,qz,qw
-1.195995158,1.4646716419147845e-16,0,0,0,1,6.123233995736766e-17
-1.199986762,1.4695599468676072e-16,0,0,0,1,6.123233995736766e-17
-1.203994006,1.474467405613579e-16,0,0,0,1,6.123233995736766e-17
-1.207993049,1.47936482029729e-16,0,0,0,1,6.123233995736766e-17
-1.211971969,1.484237591991034e-16,0,0,0,1,6.123233995736766e-17
-1.215984839,1.489151941430883e-16,0,0,0,1,6.123233995736766e-17
-1.219981498,1.4940464363290526e-16,0,0,0,1,6.123233995736766e-17
-1.223987216,1.4989520264122783e-16,0,0,0,1,6.123233995736766e-17
-1.227979392,1.5038410321136308e-16,0,0,0,1,6.123233995736766e-17
-1.231979675,1.508739965085823e-16,0,0,0,1,6.123233995736766e-17
-1.235986442,1.5136468398746866e-16,0,0,0,1,6.123233995736766e-17
-1.239985389,1.5185441377669758e-16,0,0,0,1,6.123233995736766e-17
-1.243996067,1.5234558010041268e-16,0,0,0,1,6.123233995736766e-17
-1.248057956,1.5284301812346996e-16,0,0,0,1,6.123233995736766e-17
-1.252070446,1.533344063508862e-16,0,0,0,1,6.123233995736766e-17
-1.25598299,1.5381355483731435e-16,0,0,0,1,6.123233995736766e-17
-1.259971733,1.543020349583317e-16,0,0,0,1,6.123233995736766e-17
-1.263972397,1.5479197497211957e-16,0,0,0,1,6.123233995736766e-17
-1.267971916,1.5528177483620147e-16,0,0,0,1,6.123233995736766e-17
-1.271988983,1.5577372366244158e-16,0,0,0,1,6.123233995736766e-17
-1.275973339,1.5626166654291936e-16,0,0,0,1,6.123233995736766e-17
-1.279971333,1.5675127954072663e-16,0,0,0,1,6.123233995736766e-17
-1.283966179,1.572405071268425e-16,0,0,0,1,6.123233995736766e-17
-1.287967606,1.5773054057376768e-16,0,0,0,1,6.123233995736766e-17
-1.291970272,1.58220725849541e-16,0,0,0,1,6.123233995736766e-17
-1.295994778,1.587135856488699e-16,0,0,0,1,6.123233995736766e-17
-1.299980183,1.5920165699991152e-16,0,0,0,1,6.123233995736766e-17
-1.303971215,1.5969041742034079e-16,0,0,0,1,6.123233995736766e-17
-1.307971592,1.6018032239670215e-16,0,0,0,1,6.123233995736766e-17
-1.31197073,1.6067007554421538e-16,0,0,0,1,6.123233995736766e-17
-1.315969487,1.6115978197515997e-16,0,0,0,1,6.123233995736766e-17
-1.319977685,1.616506446411788e-16,0,0,0,1,6.123233995736766e-17
-1.323981209,1.621409350292316e-16,0,0,0,1,6.123233995736766e-17
-1.328116055,1.6264730759604449e-16,0,0,0,1,6.123233995736766e-17
-1.331974717,1.6311985736714988e-16,0,0,0,1,6.123233995736766e-17
-1.335960885,1.636080221513288e-16,0,0,0,1,6.123233995736766e-17
-1.339960214,1.6409779865712637e-16,0,0,0,1,6.123233995736766e-17
-1.34408476,1.6460290987658552e-16,0,0,0,1,6.123233995736766e-17
-1.347970887,1.650788232406342e-16,0,0,0,1,6.123233995736766e-17
-1.351970121,1.655685880672896e-16,0,0,0,1,6.123233995736766e-17
